city,date,pm25,pm10,no2,so2,aqi
Bangalore,27-01-2020,457,461.2,44.4,79.4,27.3
Delhi,28-01-2020,32.9,425.3,43,53,16.7
Mumbai,28-01-2020,397.2,520.2,4.8,91,412.3
Chennai,28-01-2020,432.6,21.3,67,90.9,93.6
Kolkata,28-01-2020,81.3,454.5,29.3,4.3,98.1
Bangalore,28-01-2020,473.5,451,132.3,34.1,193.4
Delhi,29-01-2020,225.9,282.9,126.9,13.6,0.5
Mumbai,29-01-2020,133.5,267.8,91.4,89.6,296.8
Chennai,29-01-2020,420.3,278.8,104.3,41.2,485.1
Kolkata,29-01-2020,109.6,104.9,14.5,19.5,32.7
Bangalore,29-01-2020,21.3,357.6,86.1,76.2,366
Delhi,30-01-2020,126.9,581.5,105,20.7,242.4
Mumbai,30-01-2020,423,56.4,16.5,36.7,305
Chennai,30-01-2020,95.1,31.2,130.9,35.7,476.5
Kolkata,30-01-2020,333.7,240.2,99.2,23,320.5
Bangalore,30-01-2020,67.6,155.3,93.3,65.4,360.7
Delhi,31-01-2020,307.6,202.3,9.9,72.1,440.2
Mumbai,31-01-2020,400,382.1,59.2,5.3,332.2
Chennai,31-01-2020,84.8,29.8,58.6,41.7,192.2
Kolkata,31-01-2020,265.8,6.6,83.7,17.5,323.7
Bangalore,31-01-2020,6.8,501.1,21.1,0.7,121.8
Delhi,01-02-2020,110.8,359.5,48.3,79.9,16.9
Mumbai,01-02-2020,365.3,348.6,52.9,62.7,91.1
Chennai,01-02-2020,408.9,14.8,43.2,85.4,390.6
Kolkata,01-02-2020,148.7,65.2,100.7,50.9,479
Bangalore,01-02-2020,212,137.6,58.4,49.8,398.3
Delhi,02-02-2020,153.5,479.9,85.6,59.2,347.2
Mumbai,02-02-2020,319.1,330.9,107.4,98,134.1
Chennai,02-02-2020,167.4,20.4,109.6,69.9,158.7
Kolkata,02-02-2020,204.4,274.5,4.6,16.4,310.3
Bangalore,02-02-2020,495.2,455.1,63.9,64.5,122.5
Delhi,03-02-2020,14.8,307.8,28.8,27.6,472.4
Mumbai,03-02-2020,166.6,6.3,51.5,79,274.3
Chennai,03-02-2020,312.3,127.7,79.9,56.5,106.5
Kolkata,03-02-2020,17,98.6,78.8,45.3,481.7
Bangalore,03-02-2020,120.3,69.8,86.7,62.8,283.9
Delhi,04-02-2020,491.4,169.3,47.9,49.6,247.3
Mumbai,04-02-2020,60.4,362.9,70.7,53.3,187.2
Chennai,04-02-2020,460.3,113.4,146.3,41.8,215.9
Kolkata,04-02-2020,153.8,181.3,26.3,36.9,303.2
Bangalore,04-02-2020,302.4,306.3,74.3,61.3,172.1
Delhi,05-02-2020,99.5,88.4,53,2.6,454.8
Mumbai,05-02-2020,41.1,475.1,41.2,8.4,76.4
Chennai,05-02-2020,22.9,494.5,14.6,92,420.8
Kolkata,05-02-2020,411.7,207.9,15.7,44.3,76.3
Bangalore,05-02-2020,419.3,363.3,6.4,32,350.1
Delhi,06-02-2020,272,157.9,106.8,65.9,401.8
Mumbai,06-02-2020,63.6,362.6,126.8,44.6,470.1
Chennai,06-02-2020,411.4,409.6,61.3,97.1,96.3
Kolkata,06-02-2020,189.6,175.6,95.9,30.7,232.4
Bangalore,06-02-2020,109.7,278.8,8.2,89.6,419.9
Delhi,07-02-2020,285.3,547.4,21.2,10.1,366.1
Mumbai,07-02-2020,355.3,502.7,60.2,65.2,442.8
Chennai,07-02-2020,218.1,310.3,149.7,82.1,330.2
Kolkata,07-02-2020,217.4,200.8,110.9,6.6,84.8
Bangalore,07-02-2020,73.5,367.7,129.3,2.9,464.3
Delhi,08-02-2020,149.6,402.2,48.1,87.5,66.6
Mumbai,08-02-2020,424,383.4,118.9,39.4,141.5
Chennai,08-02-2020,481.5,61.1,68.7,39.8,137.6
Kolkata,08-02-2020,178.3,154.8,77.9,7,497.3
Bangalore,08-02-2020,167.9,555.1,109.9,31.4,39.5
Delhi,09-02-2020,148.8,87,94.9,33.3,381.7
Mumbai,09-02-2020,435.9,577.4,149.7,35.8,150.2
Chennai,09-02-2020,222.5,520.2,13.1,57.8,108.5
Kolkata,09-02-2020,477.2,212.5,8,46.9,401.4
Bangalore,09-02-2020,60.4,59.1,37.3,21.4,89.5
Delhi,10-02-2020,284.8,559.9,122.5,54.7,346.4
Mumbai,10-02-2020,331.6,508.6,44.3,30.1,228.1
Chennai,10-02-2020,181.2,416.9,146.2,53.3,263.2
Kolkata,10-02-2020,364.2,408.7,115,79,253.5
Bangalore,10-02-2020,456.9,103.8,81.7,35.6,98.6
Delhi,11-02-2020,202,184.9,17.5,77,96.2
Mumbai,11-02-2020,242,582.9,65.9,6.5,153.2
Chennai,11-02-2020,215,373.1,112.3,88.2,439.9
Kolkata,11-02-2020,446.1,280.1,37.4,92.2,209.7
Bangalore,11-02-2020,51.3,499.5,2.8,71.7,390.2
Delhi,12-02-2020,439.1,528.1,59,7.8,263
Mumbai,12-02-2020,176.7,30.5,16.9,27.1,346.8
Chennai,12-02-2020,391.1,226.7,146.6,49.5,127.2
Kolkata,12-02-2020,167.4,147.8,27.1,96.9,138.9
Bangalore,12-02-2020,364.9,130.2,137.5,55.6,223.4
Delhi,13-02-2020,460.2,18.2,71.4,61.9,192.9
Mumbai,13-02-2020,310.3,354.9,142.1,63.4,255.6
Chennai,13-02-2020,292.5,70,140.9,67.1,89.4
Kolkata,13-02-2020,432.8,199.8,37.6,15.5,80.6
Bangalore,13-02-2020,196.3,110.3,125.5,17.9,141.9
Delhi,14-02-2020,103.3,255.6,68.4,26.3,43.6
Mumbai,14-02-2020,79.2,570.6,96.4,6.5,360.5
Chennai,14-02-2020,272,240.1,23.7,46.7,45.6
Kolkata,14-02-2020,334.8,240.2,127.4,65.9,63.8
Bangalore,14-02-2020,186.2,45.7,0.6,83,94.6
Delhi,15-02-2020,283.2,343,128.2,16.4,236
Mumbai,15-02-2020,354.2,191.3,141.4,95.1,185.7
Chennai,15-02-2020,180.7,209.9,57.3,70,74.1
Kolkata,15-02-2020,232,402.9,29.3,19.1,242
Bangalore,15-02-2020,134.6,352.6,132.8,96.3,311.2
Delhi,16-02-2020,178.5,358.4,64.1,79.7,21.1
Mumbai,16-02-2020,195.7,89.1,50.9,2,87.7
Chennai,16-02-2020,64.9,328.1,71.4,63.7,436
Kolkata,16-02-2020,199.3,325.2,40.8,23.8,168.1
Bangalore,16-02-2020,125.5,418.2,50.8,91.2,296.1
Delhi,17-02-2020,19.6,430,74.9,4.8,423.4
Mumbai,17-02-2020,351.3,451.6,41.5,35.6,497.3
Chennai,17-02-2020,377.1,349.4,76,86.1,431.6
Kolkata,17-02-2020,88.1,23.6,129,94.5,469.5
Bangalore,17-02-2020,121.7,520.4,26.6,36.5,219.4
Delhi,18-02-2020,273.5,188.3,85.7,9.6,262.8
Mumbai,18-02-2020,475.6,41.3,14.6,4,494.3
Chennai,18-02-2020,18.4,439.7,133.9,5.1,365.6
Kolkata,18-02-2020,189,425.5,137.4,88.2,461.6
Bangalore,18-02-2020,430,187.6,81.3,16.5,259.7
Delhi,19-02-2020,110.2,467.9,34.5,31.7,10.1
Mumbai,19-02-2020,345.2,318.7,93.6,60.3,194.9
Chennai,19-02-2020,171.8,152.3,98.3,55.7,241
Kolkata,19-02-2020,19.1,508.3,44.8,37.3,58.3
Bangalore,19-02-2020,256.2,339.2,121,58.6,234.4
Delhi,20-02-2020,66.5,289,109.8,14.8,160.3
Mumbai,20-02-2020,214,414.5,59.8,6.2,405.4
Chennai,20-02-2020,67.9,199.9,49.5,4,284.2
Kolkata,20-02-2020,214.5,328.9,129.1,26.6,432.1
Bangalore,20-02-2020,399.3,17.9,146.9,51.6,330.2
Delhi,21-02-2020,55,65.1,119.3,85.8,157.4
Mumbai,21-02-2020,491,540.6,76.7,49.3,487.3
Chennai,21-02-2020,227.5,50,40.2,93.4,14.2
Kolkata,21-02-2020,74.1,429.9,135.5,94.2,194.1
Bangalore,21-02-2020,213.5,31.3,79.5,13.8,94.9
Delhi,22-02-2020,256.7,528,44.8,61,172.1
Mumbai,22-02-2020,499.5,454.3,127.4,97.1,66.6
Chennai,22-02-2020,479.5,502.1,148.9,76.8,358.3
Kolkata,22-02-2020,95.6,578.9,147.6,55.2,269.9
Bangalore,22-02-2020,373.4,249.8,98.5,85.8,199.3
Delhi,23-02-2020,331.7,541.5,50,47.1,434
Mumbai,23-02-2020,360.9,449.3,91.8,63.7,49.8
Chennai,23-02-2020,264.8,188.8,7.4,19.4,3
Kolkata,23-02-2020,455.6,426.8,51.1,76.9,56
Bangalore,23-02-2020,440.5,168.5,12.8,29,361
Delhi,24-02-2020,359.6,503.8,129,39.9,384.1
Mumbai,24-02-2020,451.8,64.4,121.2,47,325.4
Chennai,24-02-2020,152.8,511.8,108.8,54.6,376.4
Kolkata,24-02-2020,322.9,275.5,134.7,61.6,232.4
Bangalore,24-02-2020,408.6,446.2,96,67.8,430
Delhi,25-02-2020,149.3,484,7.4,99.4,249
Mumbai,25-02-2020,384,216.9,22.2,14.9,455.4
Chennai,25-02-2020,152.9,410.6,84.5,85.7,494.2
Kolkata,25-02-2020,411.2,319.7,94.3,72.1,433
Bangalore,25-02-2020,311.5,284.6,113.4,58.9,67.2
Delhi,26-02-2020,487.8,110.3,109.6,46.3,297.2
Mumbai,26-02-2020,331.4,463,11.2,72.4,182.9
Chennai,26-02-2020,182.4,189.1,84.5,71.4,463.7
Kolkata,26-02-2020,15.3,30.2,59.8,77.3,193.3
Bangalore,26-02-2020,234.1,50.8,28.1,16.4,409.6
Delhi,27-02-2020,102.9,383.4,94.3,22.5,134
Mumbai,27-02-2020,389.1,111.3,30.5,47.9,385.8
Chennai,27-02-2020,6.6,347.6,11.4,22.9,325.4
Kolkata,27-02-2020,154.2,231.8,110.6,62.5,372.7
Bangalore,27-02-2020,265.8,267.6,18.1,79.8,417.9
Delhi,28-02-2020,293.5,251.4,22.6,27.4,110.3
Mumbai,28-02-2020,298.1,341.1,122.9,54.9,499.5
Chennai,28-02-2020,161.8,218.3,107.1,5.6,397.8
Kolkata,28-02-2020,483,443.9,62.8,2.6,29.2
Bangalore,28-02-2020,231.5,120.2,86.6,78,384.5
Delhi,29-02-2020,278,169,111.6,2.2,315.1
Mumbai,29-02-2020,17.8,243.5,24.3,23.2,11.8
Chennai,29-02-2020,43.9,581.4,125.4,45.6,293.3
Kolkata,29-02-2020,175,509,140.7,58.5,296.7
Bangalore,29-02-2020,106.4,90.5,55.6,34.2,397.3
Delhi,01-03-2020,45.5,507.5,85.2,38.6,312.1
Mumbai,01-03-2020,488.9,548,2.1,27.7,190.2
Chennai,01-03-2020,225.8,555.8,71.8,80.2,26.2
Kolkata,01-03-2020,30.3,468.7,143.2,94.2,299.4
Bangalore,01-03-2020,43.1,484.7,88,47.3,37.9
Delhi,02-03-2020,29.6,308.4,33.6,86.3,449.3
Mumbai,02-03-2020,304.5,243.1,103.2,92.2,71.6
Chennai,02-03-2020,195.3,480.8,111.5,40.8,203.2
Kolkata,02-03-2020,490.8,357.6,37.3,7,358.8
Bangalore,02-03-2020,324.7,56.6,91,78.6,245.6
Delhi,03-03-2020,177.9,329.1,70.7,47.9,432.5
Mumbai,03-03-2020,445.7,298.1,113.4,53.2,31.1
Chennai,03-03-2020,76.2,121.6,133.8,4.1,297.2
Kolkata,03-03-2020,451.9,278.3,136.3,42.4,264.1
Bangalore,03-03-2020,35.5,103,91.4,92.5,357
Delhi,04-03-2020,450.7,190.8,149,21.3,290.7
Mumbai,04-03-2020,333.2,558.1,90.2,11.2,125.9
Chennai,04-03-2020,284.6,339.9,41,3.4,29.6
Kolkata,04-03-2020,95.9,361.7,116.4,38.2,1.1
Bangalore,04-03-2020,230.2,454.5,107.6,69.5,484.3
Delhi,05-03-2020,244.9,1.6,12.2,37.5,115.6
Mumbai,05-03-2020,367.8,550.8,45.2,53.9,394.4
Chennai,05-03-2020,421.1,364.6,12.9,0.4,207
Kolkata,05-03-2020,40.3,543.7,15.2,4.3,225.9
Bangalore,05-03-2020,56.3,514.4,125.4,60.3,169.1
Delhi,06-03-2020,235.7,449.2,10.4,30.9,63.9
Mumbai,06-03-2020,11.7,229.9,46.3,94,393.6
Chennai,06-03-2020,151.1,19.1,27.9,92.8,207.7
Kolkata,06-03-2020,196.1,390.2,34.8,75.2,415.3
Bangalore,06-03-2020,326.8,253.1,116.9,77.4,461.8
Delhi,07-03-2020,250.8,575.7,148.4,54.9,134.9
Mumbai,07-03-2020,60.8,321.6,112.8,44.4,175
Chennai,07-03-2020,145,527.7,8.6,9.9,42.3
Kolkata,07-03-2020,350.5,158.2,76.7,66.2,184.2
Bangalore,07-03-2020,301,592,110.7,61.7,37.3
Delhi,08-03-2020,346,75.6,64.4,94.7,185.2
Mumbai,08-03-2020,498.1,276.9,135.4,28.3,490.3
Chennai,08-03-2020,357.2,112.1,82.8,66.9,336.6
Kolkata,08-03-2020,422.6,11,118,20.9,154.6
Bangalore,08-03-2020,75,173.6,6.4,71.8,369.2
Delhi,09-03-2020,204.6,139.5,115.3,82.7,280.5
Mumbai,09-03-2020,33,181.3,92.3,76,375.6
Chennai,09-03-2020,170.9,454.5,66.3,1.7,12.5
Kolkata,09-03-2020,175.5,223.7,56.5,3.2,94.6
Bangalore,09-03-2020,250.9,238.3,78.2,45.4,46.1
Delhi,10-03-2020,420.5,167.9,135.9,31.3,209.6
Mumbai,10-03-2020,343.6,192.4,78.7,57.6,97.7
Chennai,10-03-2020,295.6,429.4,23.8,34,418.5
Kolkata,10-03-2020,472.2,143.3,63.2,54.9,304.9
Bangalore,10-03-2020,287.2,448.9,16.7,59.4,252.1
Delhi,11-03-2020,1.1,490.8,12.6,81.9,348.2
Mumbai,11-03-2020,131.9,429.7,125.6,93.5,18.9
Chennai,11-03-2020,132.4,533.9,0,23.6,95.4
Kolkata,11-03-2020,441.8,513.6,41.8,87.6,441.7
Bangalore,11-03-2020,445.2,519.8,68.7,70.5,46
Delhi,12-03-2020,487.4,177.8,138.9,62,245.8
Mumbai,12-03-2020,281.2,436.1,85.5,60.3,45.9
Chennai,12-03-2020,106.5,547.7,9.7,11.2,278.4
Kolkata,12-03-2020,488.3,138,67.7,25.5,213.2
Bangalore,12-03-2020,140.5,405.9,146.1,4.7,99.4
Delhi,13-03-2020,343.7,164.1,65.9,0.2,481
Mumbai,13-03-2020,253,115,149.5,75.1,220.7
Chennai,13-03-2020,328.2,476.6,120.2,93.4,428
Kolkata,13-03-2020,478.5,386.4,125.5,25.3,249.1
Bangalore,13-03-2020,452.9,240.4,103.1,10.1,98.4
Delhi,14-03-2020,292.2,471.4,1.7,12.9,399.9
Mumbai,14-03-2020,55.9,499.9,128.1,98.5,449.4
Chennai,14-03-2020,271.2,141.6,55.3,99.4,134
Kolkata,14-03-2020,224.9,521.1,148.8,76.3,449.2
Bangalore,14-03-2020,21.2,202.1,118.7,93.4,75.9
Delhi,15-03-2020,336.8,267.3,94.7,28.9,333.4
Mumbai,15-03-2020,432.1,457.6,138.7,18.1,18.3
Chennai,15-03-2020,291.3,594.9,86.9,99.4,210.1
Kolkata,15-03-2020,126.3,127.8,10.4,71.6,6.7
Bangalore,15-03-2020,372,489.5,53.1,16.5,169.5
Delhi,16-03-2020,44.1,536.3,17.4,40.9,470.5
Mumbai,16-03-2020,373,226.8,49.1,71.9,193.7
Chennai,16-03-2020,54.8,212.3,114.2,51.9,128.5
Kolkata,16-03-2020,259.7,372.3,30.4,45.4,121.6
Bangalore,16-03-2020,8.6,128.5,131.3,100,211.2
Delhi,17-03-2020,78.6,169.2,140.1,83.6,99.6
Mumbai,17-03-2020,481,588.7,6.8,27,379.1
Chennai,17-03-2020,449,184.2,60.6,1.8,467.1
Kolkata,17-03-2020,71.5,284.1,7,13.7,228.6
Bangalore,17-03-2020,144.1,215.6,132.2,18.5,254.1
Delhi,18-03-2020,51.6,257,46.7,88.5,494.2
Mumbai,18-03-2020,326.4,458.9,73.1,98.9,177.8
Chennai,18-03-2020,262.7,121.6,134.2,5.4,4.4
Kolkata,18-03-2020,191.9,183.8,65,43.2,161.8
Bangalore,18-03-2020,264.8,455.6,54.1,46.1,400.2
Delhi,19-03-2020,184.3,228,146.3,3.9,16.4
Mumbai,19-03-2020,60.5,332.1,32.6,36.9,61.8
Chennai,19-03-2020,333.4,453.5,12.6,62.1,420.2
Kolkata,19-03-2020,212.7,537,119.2,78.4,269.7
Bangalore,19-03-2020,183.5,399.2,104.5,52.5,226.9
Delhi,20-03-2020,475.8,491.4,103.4,99.9,274.8
Mumbai,20-03-2020,411.7,46.5,14.3,16.2,459.7
Chennai,20-03-2020,129.1,25.3,52.7,79.6,168.4
Kolkata,20-03-2020,85.8,478.8,18.2,44.1,305
Bangalore,20-03-2020,63.4,408.4,33.5,92.5,396.5
Delhi,21-03-2020,136.9,319,83.2,62.6,53
Mumbai,21-03-2020,271.9,155.6,42,37,104.7
Chennai,21-03-2020,410.4,236.1,85.2,66.2,177.8
Kolkata,21-03-2020,122.3,58.1,110.1,0.6,421.1
Bangalore,21-03-2020,418.4,180.3,76.3,93.9,466
Delhi,22-03-2020,7,261.3,34.8,33.5,163.6
Mumbai,22-03-2020,497.8,339.9,120.9,53.6,352
Chennai,22-03-2020,96.8,443.3,90.2,32,91.7
Kolkata,22-03-2020,480.2,389,114.4,15.3,418.9
Bangalore,22-03-2020,125.7,77.2,129.1,19,31.8
Delhi,23-03-2020,229.8,593.7,126.5,86.4,148.1
Mumbai,23-03-2020,245.7,479.7,19.4,50.4,229.9
Chennai,23-03-2020,361.9,71.9,47.2,72.1,70.6
Kolkata,23-03-2020,0.3,228.9,134,34.1,180.3
Bangalore,23-03-2020,356.6,313.6,110.1,83,449.8
Delhi,24-03-2020,224.4,539.2,129.5,21.5,33
Mumbai,24-03-2020,189.8,131,123.8,62.5,3.6
Chennai,24-03-2020,195.4,45.1,28.3,98.7,449
Kolkata,24-03-2020,415.7,195.1,111.1,25.8,11.5
Bangalore,24-03-2020,455.1,14.3,55.7,29.3,465.3
Delhi,25-03-2020,133.4,159.2,111.4,79.7,277.6
Mumbai,25-03-2020,377.8,488.1,48.5,71,450.4
Chennai,25-03-2020,380.7,140.9,76.4,17.2,150.3
Kolkata,25-03-2020,161.7,192.5,45.7,93.7,255.5
Bangalore,25-03-2020,410.5,525.3,50.8,78.1,321.4
Delhi,26-03-2020,52.2,203.2,124,62,289.7
Mumbai,26-03-2020,495.1,279,137,59.7,153.6
Chennai,26-03-2020,351.1,185.7,9.9,34.8,129.8
Kolkata,26-03-2020,166,354.2,23.8,54,412.2
Bangalore,26-03-2020,434.7,291.1,128.6,16.5,219.4
Delhi,27-03-2020,447.6,165.4,45.9,67.3,37.7
Mumbai,27-03-2020,323.6,594.8,115,4.1,139
Chennai,27-03-2020,236.1,136.8,92.3,30.2,332.3
Kolkata,27-03-2020,79.7,579.4,30.8,4.5,210.3
Bangalore,27-03-2020,2.6,295.6,42.8,7.7,226.4
Delhi,28-03-2020,277.7,296.5,79.6,75.4,133.6
Mumbai,28-03-2020,229.9,93.5,13.7,9.4,43.1
Chennai,28-03-2020,421.5,503.1,11.6,81.7,99.4
Kolkata,28-03-2020,221.4,507.5,64.4,39.8,348.9
Bangalore,28-03-2020,246.2,286,20.4,6.9,181.5
